Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,GWETTOP_x,T2M_x,T2M_y,GWETTOP_y,T2M,GWETTOP
2020-01-04,33.5,-2.5,13.2,60.53,0.35,,7.07,,7.07,
2020-01-04,34.5,-7.5,6.36,70.84,1.0,,16.63,,16.63,
2020-01-04,34.5,-2.5,11.33,77.02,0.39,,8.71,,8.71,
2020-01-04,35.5,-7.5,8.69,73.43,1.0,,15.5,,15.5,
2020-01-04,35.5,-2.5,8.07,82.73,0.77,,14.68,,14.68,
2020-01-05,27.5,-7.5,16.47,30.23,0.21,,8.36,,8.36,
2020-01-05,27.5,-2.5,15.87,31.76,0.08,,8.21,,8.21,
2020-01-05,28.5,-7.5,15.69,24.47,0.17,,10.11,,10.11,
2020-01-05,28.5,-2.5,15.43,29.59,0.07,,8.27,,8.27,
2020-01-05,29.5,-7.5,15.05,28.49,0.23,,12.37,,12.37,
2020-01-05,29.5,-2.5,15.55,27.97,0.08,,7.91,,7.91,
2020-01-05,30.5,-7.5,14.71,56.07,0.47,,5.22,,5.22,
2020-01-05,30.5,-2.5,14.55,30.12,0.12,,8.42,,8.42,
2020-01-05,31.5,-7.5,13.92,55.99,0.49,,8.26,,8.26,
2020-01-05,31.5,-2.5,14.41,32.91,0.29,,9.29,,9.29,
2020-01-05,32.5,-7.5,12.72,83.1,0.46,,10.42,,10.42,
2020-01-05,32.5,-2.5,13.96,37.92,0.35,,6.67,,6.67,
2020-01-05,33.5,-7.5,10.76,79.41,0.61,,13.04,,13.04,
2020-01-05,33.5,-2.5,13.4,41.48,0.35,,6.38,,6.38,
2020-01-05,34.5,-7.5,7.63,69.62,1.0,,15.59,,15.59,
2020-01-05,34.5,-2.5,12.06,64.02,0.39,,7.75,,7.75,
2020-01-05,35.5,-7.5,9.17,78.37,1.0,,16.11,,16.11,
2020-01-05,35.5,-2.5,9.05,77.87,0.77,,14.55,,14.55,
2020-01-06,27.5,-7.5,16.36,28.41,0.2,,7.78,,7.78,
2020-01-06,27.5,-2.5,15.48,32.85,0.08,,7.71,,7.71,
2020-01-06,28.5,-7.5,15.49,23.95,0.17,,9.17,,9.17,
2020-01-06,28.5,-2.5,15.26,33.04,0.07,,7.82,,7.82,
2020-01-06,29.5,-7.5,15.08,27.5,0.22,,10.87,,10.87,
2020-01-06,29.5,-2.5,14.98,36.79,0.08,,6.73,,6.73,
2020-01-06,30.5,-7.5,14.72,45.85,0.47,,4.14,,4.14,
2020-01-06,30.5,-2.5,14.7,37.32,0.12,,6.98,,6.98,
2020-01-06,31.5,-7.5,13.46,58.78,0.49,,6.68,,6.68,
2020-01-06,31.5,-2.5,14.17,38.61,0.29,,7.89,,7.89,
2020-01-06,32.5,-7.5,12.01,81.1,0.46,,10.93,,10.93,
2020-01-06,32.5,-2.5,13.82,39.76,0.35,,6.64,,6.64,
2020-01-06,33.5,-7.5,11.59,81.97,0.61,,13.32,,13.32,
2020-01-06,33.5,-2.5,12.87,47.88,0.35,,5.91,,5.91,
2020-01-06,34.5,-7.5,10.44,72.89,1.0,,16.54,,16.54,
2020-01-06,34.5,-2.5,10.44,62.18,0.39,,7.67,,7.67,
2020-01-06,35.5,-7.5,8.74,78.03,1.0,,16.45,,16.45,
2020-01-06,35.5,-2.5,6.45,79.96,0.77,,14.26,,14.26,
2020-01-07,27.5,-7.5,14.64,38.12,0.2,,7.67,,7.67,
2020-01-07,27.5,-2.5,12.25,45.32,0.08,,8.62,,8.62,
2020-01-07,28.5,-7.5,14.06,35.05,0.17,,8.64,,8.64,
2020-01-07,28.5,-2.5,11.85,47.4,0.07,,8.5,,8.5,
2020-01-07,29.5,-7.5,15.44,31.51,0.22,,10.04,,10.04,
2020-01-07,29.5,-2.5,12.91,50.6,0.08,,7.03,,7.03,
2020-01-07,30.5,-7.5,15.14,48.03,0.47,,2.33,,2.33,
2020-01-07,30.5,-2.5,14.63,54.99,0.12,,6.32,,6.32,
2020-01-07,31.5,-7.5,14.25,45.21,0.48,,5.78,,5.78,
2020-01-07,31.5,-2.5,13.6,49.98,0.29,,7.13,,7.13,
2020-01-07,32.5,-7.5,13.51,61.47,0.46,,10.48,,10.48,
2020-01-07,32.5,-2.5,14.1,52.71,0.35,,5.08,,5.08,
2020-01-07,33.5,-7.5,12.85,73.96,0.61,,12.8,,12.8,
2020-01-07,33.5,-2.5,13.54,63.86,0.35,,4.51,,4.51,
2020-01-07,34.5,-7.5,12.15,75.54,1.0,,16.42,,16.42,
2020-01-07,34.5,-2.5,12.39,70.15,0.39,,6.94,,6.94,
2020-01-07,35.5,-7.5,11.47,76.98,1.0,,16.5,,16.5,
2020-01-07,35.5,-2.5,10.5,77.19,0.77,,13.79,,13.79,
2020-01-08,27.5,-7.5,15.29,47.72,0.2,,8.22,,8.22,
2020-01-08,27.5,-2.5,14.25,44.07,0.08,,8.62,,8.62,
2020-01-08,28.5,-7.5,14.72,44.08,0.16,,8.8,,8.8,
2020-01-08,28.5,-2.5,13.34,45.83,0.07,,8.57,,8.57,
2020-01-08,29.5,-7.5,15.52,37.57,0.21,,10.61,,10.61,
2020-01-08,29.5,-2.5,14.22,54.17,0.08,,6.88,,6.88,
2020-01-08,30.5,-7.5,14.82,48.57,0.47,,3.59,,3.59,
2020-01-08,30.5,-2.5,14.95,52.27,0.12,,7.12,,7.12,
2020-01-08,31.5,-7.5,14.36,46.05,0.48,,6.15,,6.15,
2020-01-08,31.5,-2.5,14.15,46.87,0.28,,8.37,,8.37,
2020-01-08,32.5,-7.5,13.62,56.9,0.45,,10.7,,10.7,
2020-01-08,32.5,-2.5,13.73,50.33,0.35,,5.56,,5.56,
2020-01-08,33.5,-7.5,12.93,72.96,0.61,,13.25,,13.25,
2020-01-08,33.5,-2.5,13.59,47.09,0.35,,6.52,,6.52,
2020-01-08,34.5,-7.5,12.23,72.79,1.0,,16.6,,16.6,
2020-01-08,34.5,-2.5,12.52,56.23,0.39,,7.53,,7.53,
2020-01-08,35.5,-7.5,11.95,75.65,1.0,,16.65,,16.65,
2020-01-08,35.5,-2.5,10.66,73.0,0.76,,14.04,,14.04,
2020-01-09,27.5,-7.5,16.43,33.7,0.2,,8.93,,8.93,
2020-01-09,27.5,-2.5,16.3,42.65,0.08,,7.93,,7.93,
2020-01-09,28.5,-7.5,15.72,32.26,0.16,,10.98,,10.98,
2020-01-09,28.5,-2.5,15.71,42.45,0.07,,8.07,,8.07,
2020-01-09,29.5,-7.5,15.24,30.31,0.21,,13.08,,13.08,
2020-01-09,29.5,-2.5,14.71,44.9,0.08,,7.12,,7.12,
2020-01-09,30.5,-7.5,15.18,47.09,0.46,,5.2,,5.2,
2020-01-09,30.5,-2.5,14.54,44.31,0.12,,7.94,,7.94,
2020-01-09,31.5,-7.5,14.28,50.95,0.48,,6.81,,6.81,
2020-01-09,31.5,-2.5,14.12,45.61,0.28,,8.09,,8.09,
2020-01-09,32.5,-7.5,13.45,65.97,0.45,,10.54,,10.54,
2020-01-09,32.5,-2.5,13.92,55.14,0.35,,5.19,,5.19,
2020-01-09,33.5,-7.5,11.31,79.7,0.6,,13.11,,13.11,
2020-01-09,33.5,-2.5,13.42,61.91,0.35,,4.21,,4.21,
2020-01-09,34.5,-7.5,9.4,77.25,1.0,,16.58,,16.58,
2020-01-09,34.5,-2.5,11.21,66.09,0.39,,6.7,,6.7,
2020-01-09,35.5,-7.5,10.2,76.07,1.0,,16.09,,16.09,
2020-01-09,35.5,-2.5,7.26,75.44,0.77,,13.55,,13.55,
2020-01-10,27.5,-7.5,16.22,31.61,0.19,,11.34,,11.34,
2020-01-10,27.5,-2.5,15.8,48.39,0.08,,8.61,,8.61,
2020-01-10,28.5,-7.5,15.74,30.97,0.16,,11.19,,11.19,
2020-01-10,28.5,-2.5,15.48,48.24,0.07,,9.22,,9.22,
2020-01-10,29.5,-7.5,15.22,31.16,0.21,,12.78,,12.78,
2020-01-10,29.5,-2.5,14.87,46.4,0.08,,8.97,,8.97,
2020-01-10,30.5,-7.5,15.29,43.56,0.46,,6.53,,6.53,
2020-01-10,30.5,-2.5,14.52,44.41,0.12,,9.31,,9.31,
2020-01-10,31.5,-7.5,14.29,55.61,0.48,,6.92,,6.92,
2020-01-10,31.5,-2.5,14.09,50.53,0.28,,8.91,,8.91,
2020-01-10,32.5,-7.5,13.18,80.05,0.45,,10.64,,10.64,
2020-01-10,32.5,-2.5,12.99,67.4,0.35,,5.52,,5.52,
2020-01-10,33.5,-7.5,9.51,79.31,0.6,,12.93,,12.93,
2020-01-10,33.5,-2.5,12.3,79.19,0.35,,4.89,,4.89,
2020-01-10,34.5,-7.5,9.65,74.7,1.0,,16.03,,16.03,
2020-01-10,34.5,-2.5,9.81,81.26,0.39,,7.21,,7.21,
2020-01-10,35.5,-7.5,10.97,74.02,1.0,,15.54,,15.54,
2020-01-10,35.5,-2.5,8.27,77.27,0.77,,14.89,,14.89,
2020-01-11,27.5,-7.5,16.18,47.78,0.19,,11.16,,11.16,
2020-01-11,27.5,-2.5,15.67,43.28,0.08,,10.64,,10.64,
2020-01-11,28.5,-7.5,15.6,42.72,0.16,,10.55,,10.55,
2020-01-11,28.5,-2.5,14.62,42.46,0.07,,11.04,,11.04,
2020-01-11,29.5,-7.5,15.26,36.55,0.2,,12.03,,12.03,
2020-01-11,29.5,-2.5,13.51,50.55,0.08,,9.41,,9.41,
2020-01-11,30.5,-7.5,15.48,47.53,0.46,,5.01,,5.01,
2020-01-11,30.5,-2.5,14.1,62.79,0.12,,7.97,,7.97,
2020-01-11,31.5,-7.5,11.67,62.94,0.48,,5.12,,5.12,
2020-01-11,31.5,-2.5,12.31,69.11,0.28,,7.36,,7.36,
2020-01-11,32.5,-7.5,10.84,74.24,0.45,,9.59,,9.59,
2020-01-11,32.5,-2.5,8.82,77.77,0.35,,4.47,,4.47,
2020-01-11,33.5,-7.5,12.35,74.45,0.6,,12.11,,12.11,
2020-01-11,33.5,-2.5,7.52,85.77,0.37,,4.02,,4.02,
2020-01-11,34.5,-7.5,12.34,70.23,1.0,,16.29,,16.29,
2020-01-11,34.5,-2.5,8.61,89.41,0.42,,6.98,,6.98,
2020-01-11,35.5,-7.5,11.66,70.05,1.0,,16.47,,16.47,
2020-01-11,35.5,-2.5,7.39,77.89,0.78,,14.79,,14.79,
2020-01-12,27.5,-7.5,15.21,46.77,0.19,,9.8,,9.8,
2020-01-12,27.5,-2.5,16.38,50.37,0.08,,9.6,,9.6,
2020-01-12,28.5,-7.5,14.59,44.89,0.16,,10.12,,10.12,
2020-01-12,28.5,-2.5,15.8,56.6,0.07,,9.12,,9.12,
2020-01-12,29.5,-7.5,15.37,40.4,0.2,,11.4,,11.4,
2020-01-12,29.5,-2.5,15.49,59.84,0.08,,8.26,,8.26,
2020-01-12,30.5,-7.5,15.54,62.67,0.46,,2.65,,2.65,
2020-01-12,30.5,-2.5,15.11,59.1,0.12,,7.96,,7.96,
2020-01-12,31.5,-7.5,14.81,55.87,0.48,,5.5,,5.5,
2020-01-12,31.5,-2.5,14.6,61.29,0.28,,6.98,,6.98,
2020-01-12,32.5,-7.5,14.2,54.13,0.45,,10.3,,10.3,
2020-01-12,32.5,-2.5,12.8,70.9,0.35,,4.33,,4.33,
2020-01-12,33.5,-7.5,13.51,69.88,0.6,,11.76,,11.76,
2020-01-12,33.5,-2.5,11.53,75.28,0.35,,4.09,,4.09,
2020-01-12,34.5,-7.5,12.99,73.12,1.0,,16.35,,16.35,
2020-01-12,34.5,-2.5,11.63,75.63,0.4,,6.71,,6.71,
2020-01-12,35.5,-7.5,12.31,73.3,1.0,,16.33,,16.33,
2020-01-12,35.5,-2.5,11.41,74.72,0.77,,13.76,,13.76,
2020-01-13,27.5,-7.5,16.52,48.51,0.19,,8.88,,8.88,
2020-01-13,27.5,-2.5,15.78,49.77,0.08,,9.11,,9.11,
2020-01-13,28.5,-7.5,15.85,44.85,0.16,,9.29,,9.29,
2020-01-13,28.5,-2.5,16.39,46.96,0.07,,9.33,,9.33,
2020-01-13,29.5,-7.5,15.1,37.3,0.2,,11.17,,11.17,
2020-01-13,29.5,-2.5,15.93,47.83,0.08,,8.43,,8.43,
2020-01-13,30.5,-7.5,15.52,45.32,0.46,,4.56,,4.56,
2020-01-13,30.5,-2.5,15.39,50.91,0.12,,7.95,,7.95,
2020-01-13,31.5,-7.5,14.81,44.29,0.48,,6.66,,6.66,
2020-01-13,31.5,-2.5,15.12,52.36,0.28,,7.21,,7.21,
2020-01-13,32.5,-7.5,13.84,50.68,0.45,,10.85,,10.85,
2020-01-13,32.5,-2.5,14.69,63.36,0.35,,3.34,,3.34,
2020-01-13,33.5,-7.5,13.48,69.3,0.59,,12.6,,12.6,
2020-01-13,33.5,-2.5,14.08,59.24,0.35,,3.5,,3.5,
2020-01-13,34.5,-7.5,12.3,67.85,1.0,,16.45,,16.45,
2020-01-13,34.5,-2.5,13.55,52.54,0.4,,6.88,,6.88,
2020-01-13,35.5,-7.5,11.41,64.08,1.0,,16.17,,16.17,
2020-01-13,35.5,-2.5,12.4,59.32,0.77,,13.24,,13.24,
2020-01-14,27.5,-7.5,16.88,40.89,0.19,,8.91,,8.91,
2020-01-14,27.5,-2.5,17.07,46.79,0.08,,8.75,,8.75,
2020-01-14,28.5,-7.5,16.26,39.27,0.16,,9.19,,9.19,
2020-01-14,28.5,-2.5,16.13,40.23,0.07,,8.83,,8.83,
2020-01-14,29.5,-7.5,14.2,33.77,0.19,,11.33,,11.33,
2020-01-14,29.5,-2.5,15.91,36.03,0.08,,8.84,,8.84,
2020-01-14,30.5,-7.5,12.99,46.89,0.45,,3.42,,3.42,
2020-01-14,30.5,-2.5,15.52,39.34,0.12,,7.88,,7.88,
2020-01-14,31.5,-7.5,9.99,48.15,0.48,,5.86,,5.86,
2020-01-14,31.5,-2.5,15.14,39.99,0.27,,7.43,,7.43,
2020-01-14,32.5,-7.5,9.7,49.12,0.45,,10.96,,10.96,
2020-01-14,32.5,-2.5,14.75,41.83,0.35,,5.18,,5.18,
2020-01-14,33.5,-7.5,11.51,61.92,0.59,,12.46,,12.46,
2020-01-14,33.5,-2.5,13.98,41.65,0.35,,5.53,,5.53,
2020-01-14,34.5,-7.5,11.02,67.39,1.0,,16.27,,16.27,
2020-01-14,34.5,-2.5,12.33,48.51,0.39,,8.65,,8.65,
2020-01-14,35.5,-7.5,10.96,68.88,1.0,,16.29,,16.29,
2020-01-14,35.5,-2.5,11.82,69.3,0.76,,14.83,,14.83,
2020-01-15,27.5,-7.5,11.43,41.03,0.19,,8.2,,8.2,
2020-01-15,27.5,-2.5,10.9,50.31,0.08,,9.32,,9.32,
2020-01-15,28.5,-7.5,13.52,37.28,0.16,,8.46,,8.46,
2020-01-15,28.5,-2.5,14.23,49.03,0.07,,9.3,,9.3,
2020-01-15,29.5,-7.5,13.51,29.74,0.19,,10.32,,10.32,
2020-01-15,29.5,-2.5,15.01,46.04,0.08,,8.08,,8.08,
2020-01-15,30.5,-7.5,15.29,37.91,0.45,,3.62,,3.62,
2020-01-15,30.5,-2.5,14.35,38.05,0.12,,7.53,,7.53,
2020-01-15,31.5,-7.5,15.16,40.79,0.48,,5.3,,5.3,
2020-01-15,31.5,-2.5,13.33,35.28,0.27,,7.63,,7.63,
2020-01-15,32.5,-7.5,14.06,45.15,0.44,,10.32,,10.32,
2020-01-15,32.5,-2.5,13.19,38.08,0.35,,5.93,,5.93,
2020-01-15,33.5,-7.5,13.54,58.25,0.59,,12.55,,12.55,
2020-01-15,33.5,-2.5,13.13,45.38,0.35,,5.86,,5.86,
2020-01-15,34.5,-7.5,13.14,58.65,1.0,,17.28,,17.28,
2020-01-15,34.5,-2.5,11.87,49.83,0.39,,8.18,,8.18,
2020-01-15,35.5,-7.5,12.05,67.92,1.0,,17.53,,17.53,
2020-01-15,35.5,-2.5,11.35,68.53,0.76,,15.27,,15.27,
2020-01-16,27.5,-7.5,16.88,45.62,0.18,,8.75,,8.75,
2020-01-16,27.5,-2.5,15.72,49.71,0.08,,11.2,,11.2,
2020-01-16,28.5,-7.5,16.37,38.83,0.16,,8.91,,8.91,
2020-01-16,28.5,-2.5,15.81,47.79,0.07,,10.77,,10.77,
2020-01-16,29.5,-7.5,16.12,27.42,0.19,,10.69,,10.69,
2020-01-16,29.5,-2.5,15.6,43.48,0.08,,8.84,,8.84,
2020-01-16,30.5,-7.5,16.09,35.31,0.44,,5.23,,5.23,
2020-01-16,30.5,-2.5,15.31,34.85,0.12,,8.3,,8.3,
2020-01-16,31.5,-7.5,15.09,39.76,0.48,,6.0,,6.0,
2020-01-16,31.5,-2.5,15.2,31.77,0.26,,8.45,,8.45,
2020-01-16,32.5,-7.5,14.23,39.69,0.44,,11.07,,11.07,
2020-01-16,32.5,-2.5,14.91,41.5,0.35,,5.77,,5.77,
2020-01-16,33.5,-7.5,13.78,52.56,0.59,,13.24,,13.24,
2020-01-16,33.5,-2.5,14.32,51.19,0.35,,5.3,,5.3,
2020-01-16,34.5,-7.5,13.2,59.43,1.0,,17.06,,17.06,
2020-01-16,34.5,-2.5,13.23,49.41,0.39,,8.33,,8.33,
2020-01-16,35.5,-7.5,12.66,63.39,1.0,,17.34,,17.34,
2020-01-16,35.5,-2.5,11.98,59.12,0.76,,14.6,,14.6,
2020-01-17,27.5,-7.5,16.8,32.78,0.18,,9.14,,9.14,
2020-01-17,27.5,-2.5,16.44,64.81,0.08,,9.93,,9.93,
2020-01-17,28.5,-7.5,16.09,25.6,0.15,,10.24,,10.24,
2020-01-17,28.5,-2.5,16.21,62.36,0.07,,9.18,,9.18,
2020-01-17,29.5,-7.5,16.26,23.72,0.19,,12.19,,12.19,
2020-01-17,29.5,-2.5,16.22,55.59,0.08,,7.69,,7.69,
2020-01-17,30.5,-7.5,16.2,32.97,0.43,,5.86,,5.86,
2020-01-17,30.5,-2.5,15.95,38.72,0.12,,8.26,,8.26,
2020-01-17,31.5,-7.5,15.43,31.88,0.48,,8.71,,8.71,
2020-01-17,31.5,-2.5,15.37,39.34,0.26,,8.78,,8.78,
2020-01-17,32.5,-7.5,14.17,39.36,0.44,,11.71,,11.71,
2020-01-17,32.5,-2.5,15.02,49.81,0.35,,5.4,,5.4,
2020-01-17,33.5,-7.5,13.54,58.16,0.58,,13.42,,13.42,
2020-01-17,33.5,-2.5,14.31,50.05,0.35,,6.11,,6.11,
2020-01-17,34.5,-7.5,12.24,66.59,1.0,,17.4,,17.4,
2020-01-17,34.5,-2.5,12.75,49.83,0.39,,8.86,,8.86,
2020-01-17,35.5,-7.5,9.92,75.48,1.0,,17.5,,17.5,
2020-01-17,35.5,-2.5,12.0,73.97,0.76,,15.59,,15.59,
2020-01-18,27.5,-7.5,17.24,34.72,0.18,,9.25,,9.25,
2020-01-18,27.5,-2.5,17.45,46.28,0.08,,9.82,,9.82,
2020-01-18,28.5,-7.5,16.41,26.22,0.15,,10.91,,10.91,
2020-01-18,28.5,-2.5,16.83,37.8,0.07,,9.58,,9.58,
2020-01-18,29.5,-7.5,16.32,21.66,0.18,,13.85,,13.85,
2020-01-18,29.5,-2.5,16.48,32.47,0.08,,9.23,,9.23,
2020-01-18,30.5,-7.5,16.34,29.33,0.41,,8.16,,8.16,
2020-01-18,30.5,-2.5,15.93,32.37,0.12,,9.81,,9.81,
2020-01-18,31.5,-7.5,15.24,31.19,0.47,,10.14,,10.14,
2020-01-18,31.5,-2.5,15.33,34.31,0.25,,9.95,,9.95,
2020-01-18,32.5,-7.5,14.43,44.63,0.44,,13.02,,13.02,
2020-01-18,32.5,-2.5,14.89,37.08,0.35,,7.98,,7.98,
2020-01-18,33.5,-7.5,13.56,68.95,0.58,,13.88,,13.88,
2020-01-18,33.5,-2.5,13.97,42.38,0.35,,8.2,,8.2,
2020-01-18,34.5,-7.5,12.71,82.81,1.0,,17.01,,17.01,
2020-01-18,34.5,-2.5,10.63,45.48,0.39,,10.69,,10.69,
2020-01-18,35.5,-7.5,10.75,88.71,1.0,,17.04,,17.04,
2020-01-18,35.5,-2.5,5.76,69.31,0.76,,15.72,,15.72,
2020-01-19,27.5,-7.5,17.58,33.18,0.18,,11.58,,11.58,
2020-01-19,27.5,-2.5,17.37,32.05,0.08,,10.33,,10.33,
2020-01-19,28.5,-7.5,16.87,31.01,0.15,,13.87,,13.87,
2020-01-19,28.5,-2.5,16.63,27.69,0.07,,10.56,,10.56,
2020-01-19,29.5,-7.5,16.29,29.55,0.18,,15.9,,15.9,
2020-01-19,29.5,-2.5,16.33,23.73,0.08,,11.39,,11.39,
2020-01-19,30.5,-7.5,16.26,50.38,0.4,,6.76,,6.76,
2020-01-19,30.5,-2.5,15.96,30.68,0.12,,11.59,,11.59,
2020-01-19,31.5,-7.5,12.72,62.07,0.48,,7.16,,7.16,
2020-01-19,31.5,-2.5,14.56,38.66,0.26,,11.28,,11.28,
2020-01-19,32.5,-7.5,7.13,75.36,0.47,,10.44,,10.44,
2020-01-19,32.5,-2.5,9.49,57.27,0.36,,7.3,,7.3,
2020-01-19,33.5,-7.5,8.16,86.81,0.64,,13.03,,13.03,
2020-01-19,33.5,-2.5,7.44,67.25,0.37,,6.46,,6.46,
2020-01-19,34.5,-7.5,7.74,77.92,1.0,,16.41,,16.41,
2020-01-19,34.5,-2.5,7.92,73.64,0.44,,8.93,,8.93,
2020-01-19,35.5,-7.5,9.4,73.7,1.0,,16.01,,16.01,
2020-01-19,35.5,-2.5,8.96,76.35,0.78,,14.64,,14.64,
2020-01-20,27.5,-7.5,16.47,63.51,0.18,,11.99,,11.99,
2020-01-20,27.5,-2.5,17.08,31.68,0.08,,11.99,,11.99,
2020-01-20,28.5,-7.5,16.08,59.98,0.15,,11.57,,11.57,
2020-01-20,28.5,-2.5,16.59,34.54,0.07,,10.88,,10.88,
2020-01-20,29.5,-7.5,13.62,48.64,0.18,,11.81,,11.81,
2020-01-20,29.5,-2.5,16.44,54.98,0.1,,9.53,,9.53,
2020-01-20,30.5,-7.5,10.78,72.45,0.44,,1.86,,1.86,
2020-01-20,30.5,-2.5,14.99,70.62,0.15,,8.81,,8.81,
2020-01-20,31.5,-7.5,8.04,88.59,0.57,,3.34,,3.34,
2020-01-20,31.5,-2.5,13.78,75.04,0.34,,6.43,,6.43,
2020-01-20,32.5,-7.5,8.34,83.15,0.52,,9.23,,9.23,
2020-01-20,32.5,-2.5,10.35,90.3,0.4,,2.35,,2.35,
2020-01-20,33.5,-7.5,9.0,76.49,0.65,,11.51,,11.51,
