Date,LAT,LON,NDWI,nb_images
2023-09-01,27.5,-2.5,-0.1145,7
2023-10-01,27.5,-2.5,-0.1094,9
2023-11-01,27.5,-2.5,-0.0996,7
2023-12-01,27.5,-2.5,-0.0902,9
2024-01-01,27.5,-2.5,-0.0905,8
2024-02-01,27.5,-2.5,-0.0913,10
2024-03-01,27.5,-2.5,-0.0938,12
2024-04-01,27.5,-2.5,-0.0961,9
2024-05-01,27.5,-2.5,-0.0992,10
2024-06-01,27.5,-2.5,-0.1105,10
2024-07-01,27.5,-2.5,-0.1112,10
2024-08-01,27.5,-2.5,-0.1208,10
2024-09-01,27.5,-2.5,-0.1291,7
2024-10-01,27.5,-2.5,-0.1165,11
2024-11-01,27.5,-2.5,-0.1028,6
2024-12-01,27.5,-2.5,-0.089,10
2025-01-01,27.5,-2.5,-0.0903,12
2025-02-01,27.5,-2.5,-0.0939,11
2025-03-01,27.5,-2.5,-0.0969,12
2025-04-01,27.5,-2.5,-0.1053,8
2025-05-01,27.5,-2.5,-0.1054,9
2025-06-01,27.5,-2.5,-0.1153,10
2025-07-01,27.5,-2.5,-0.1183,14
2025-08-01,27.5,-2.5,-0.1197,13
2025-09-01,27.5,-2.5,-0.1222,10
2025-10-01,27.5,-2.5,-0.1177,12
2025-11-01,27.5,-2.5,-0.1065,11
2025-12-01,27.5,-2.5,-0.0941,14
2020-01-01,28.5,-7.5,-0.1098,12
2020-02-01,28.5,-7.5,-0.1116,10
2020-03-01,28.5,-7.5,-0.1126,10
2020-04-01,28.5,-7.5,-0.1134,10
2020-05-01,28.5,-7.5,-0.1206,13
2020-06-01,28.5,-7.5,-0.1262,8
2020-07-01,28.5,-7.5,-0.1337,9
2020-08-01,28.5,-7.5,-0.1426,10
2020-09-01,28.5,-7.5,-0.1379,12
2020-10-01,28.5,-7.5,-0.1254,10
2020-11-01,28.5,-7.5,-0.1341,8
2020-12-01,28.5,-7.5,-0.1172,10
2021-01-01,28.5,-7.5,-0.114,12
2021-02-01,28.5,-7.5,-0.1052,10
2021-03-01,28.5,-7.5,-0.1117,8
2021-04-01,28.5,-7.5,-0.1143,11
2021-05-01,28.5,-7.5,-0.1173,6
2021-06-01,28.5,-7.5,-0.1204,8
2021-07-01,28.5,-7.5,-0.1324,9
2021-08-01,28.5,-7.5,-0.1303,13
2021-09-01,28.5,-7.5,-0.1248,9
2021-10-01,28.5,-7.5,-0.1212,11
2021-11-01,28.5,-7.5,-0.1151,7
2021-12-01,28.5,-7.5,-0.1162,8
2022-01-01,28.5,-7.5,-0.1191,8
2022-02-01,28.5,-7.5,-0.1166,5
2022-03-01,28.5,-7.5,-0.1123,9
2022-04-01,28.5,-7.5,-0.1047,10
2022-05-01,28.5,-7.5,-0.109,11
2022-06-01,28.5,-7.5,-0.1206,8
2022-07-01,28.5,-7.5,-0.1255,8
2022-08-01,28.5,-7.5,-0.1318,9
2022-09-01,28.5,-7.5,-0.1308,8
2022-10-01,28.5,-7.5,-0.1233,9
2022-11-01,28.5,-7.5,-0.1171,9
2022-12-01,28.5,-7.5,-0.1212,11
2023-01-01,28.5,-7.5,-0.1061,10
2023-02-01,28.5,-7.5,-0.1103,5
2023-03-01,28.5,-7.5,-0.1126,9
2023-04-01,28.5,-7.5,-0.1117,11
2023-05-01,28.5,-7.5,-0.1094,10
2023-06-01,28.5,-7.5,-0.119,11
2023-07-01,28.5,-7.5,-0.1255,11
2023-08-01,28.5,-7.5,-0.1275,11
2023-09-01,28.5,-7.5,-0.1386,9
2023-10-01,28.5,-7.5,-0.1305,6
2023-11-01,28.5,-7.5,-0.1153,10
2023-12-01,28.5,-7.5,-0.112,9
2024-01-01,28.5,-7.5,-0.1102,9
2024-02-01,28.5,-7.5,-0.1054,9
2024-03-01,28.5,-7.5,-0.1074,9
2024-04-01,28.5,-7.5,-0.1064,8
2024-05-01,28.5,-7.5,-0.1039,10
2024-06-01,28.5,-7.5,-0.1155,11
2024-07-01,28.5,-7.5,-0.1261,11
2024-08-01,28.5,-7.5,-0.1364,8
2024-09-01,28.5,-7.5,-0.1408,7
2024-10-01,28.5,-7.5,-0.1277,9
2024-11-01,28.5,-7.5,-0.1267,6
2024-12-01,28.5,-7.5,-0.1184,8
2025-01-01,28.5,-7.5,-0.1095,12
2025-02-01,28.5,-7.5,-0.1065,11
2025-03-01,28.5,-7.5,-0.11,16
2025-04-01,28.5,-7.5,-0.109,8
2025-05-01,28.5,-7.5,-0.1111,7
2025-06-01,28.5,-7.5,-0.1226,9
2025-07-01,28.5,-7.5,-0.1257,15
2025-08-01,28.5,-7.5,-0.1298,11
2025-09-01,28.5,-7.5,-0.131,13
2025-10-01,28.5,-7.5,-0.1285,10
2025-11-01,28.5,-7.5,-0.1201,15
2025-12-01,28.5,-7.5,-0.1119,12
2020-01-01,28.5,-2.5,-0.1111,12
2020-02-01,28.5,-2.5,-0.1173,9
2020-03-01,28.5,-2.5,-0.1153,12
2020-04-01,28.5,-2.5,-0.1307,8
2020-05-01,28.5,-2.5,-0.1165,11
2020-06-01,28.5,-2.5,-0.1348,9
2020-07-01,28.5,-2.5,-0.1411,12
2020-08-01,28.5,-2.5,-0.1438,11
2020-09-01,28.5,-2.5,-0.1461,10
2020-10-01,28.5,-2.5,-0.1313,9
2020-11-01,28.5,-2.5,-0.1294,9
2020-12-01,28.5,-2.5,-0.1208,11
2021-01-01,28.5,-2.5,-0.1205,9
2021-02-01,28.5,-2.5,-0.1093,9
2021-03-01,28.5,-2.5,-0.1164,10
2021-04-01,28.5,-2.5,-0.1184,7
2021-05-01,28.5,-2.5,-0.1231,5
2021-06-01,28.5,-2.5,-0.1321,8
2021-07-01,28.5,-2.5,-0.1268,13
2021-08-01,28.5,-2.5,-0.1287,12
2021-09-01,28.5,-2.5,-0.1337,9
2021-10-01,28.5,-2.5,-0.1267,10
2021-11-01,28.5,-2.5,-0.1339,10
2021-12-01,28.5,-2.5,-0.1258,10
2022-01-01,28.5,-2.5,-0.121,7
2022-02-01,28.5,-2.5,-0.118,7
2022-03-01,28.5,-2.5,-0.1197,12
2022-04-01,28.5,-2.5,-0.1179,9
2022-05-01,28.5,-2.5,-0.121,9
2022-06-01,28.5,-2.5,-0.1299,9
2022-07-01,28.5,-2.5,-0.1327,13
2022-08-01,28.5,-2.5,-0.1335,12
2022-09-01,28.5,-2.5,-0.1335,9
2022-10-01,28.5,-2.5,-0.129,8
2022-11-01,28.5,-2.5,-0.1227,12
2022-12-01,28.5,-2.5,-0.1237,9
2023-01-01,28.5,-2.5,-0.116,11
2023-02-01,28.5,-2.5,-0.1168,8
2023-03-01,28.5,-2.5,-0.1183,12
2023-04-01,28.5,-2.5,-0.1203,11
2023-05-01,28.5,-2.5,-0.1248,8
2023-06-01,28.5,-2.5,-0.1234,11
2023-07-01,28.5,-2.5,-0.1277,11
2023-08-01,28.5,-2.5,-0.1359,11
2023-09-01,28.5,-2.5,-0.1362,7
2023-10-01,28.5,-2.5,-0.1298,8
2023-11-01,28.5,-2.5,-0.1251,7
2023-12-01,28.5,-2.5,-0.115,10
2024-01-01,28.5,-2.5,-0.116,8
2024-02-01,28.5,-2.5,-0.116,10
2024-03-01,28.5,-2.5,-0.1158,12
2024-04-01,28.5,-2.5,-0.1152,10
2024-05-01,28.5,-2.5,-0.1207,10
2024-06-01,28.5,-2.5,-0.1236,10
2024-07-01,28.5,-2.5,-0.1286,10
2024-08-01,28.5,-2.5,-0.1384,9
2024-09-01,28.5,-2.5,-0.1459,6
2024-10-01,28.5,-2.5,-0.1363,9
2024-11-01,28.5,-2.5,-0.1288,4
2024-12-01,28.5,-2.5,-0.1217,10
2025-01-01,28.5,-2.5,-0.1172,12
2025-02-01,28.5,-2.5,-0.1212,11
2025-03-01,28.5,-2.5,-0.1211,12
2025-04-01,28.5,-2.5,-0.1235,7
2025-05-01,28.5,-2.5,-0.1251,10
2025-06-01,28.5,-2.5,-0.1352,10
2025-07-01,28.5,-2.5,-0.1353,13
2025-08-01,28.5,-2.5,-0.1369,12
2025-09-01,28.5,-2.5,-0.1438,10
2025-10-01,28.5,-2.5,-0.1368,10
2025-11-01,28.5,-2.5,-0.1271,10
2025-12-01,28.5,-2.5,-0.1213,14
2020-01-01,29.5,-7.5,-0.169,6
2020-02-01,29.5,-7.5,-0.1663,5
