Date,Surface,Nom_Barrage
2020-08-31,7114731.536816765,Oued_El_Makhazine
2020-08-31,7109414.366488227,Oued_El_Makhazine
2020-09-03,7148288.435284782,Oued_El_Makhazine
2020-09-03,7137036.886132212,Oued_El_Makhazine
2020-09-05,7039766.732219859,Oued_El_Makhazine
2020-09-05,7039331.63643703,Oued_El_Makhazine
2020-09-08,7082940.685164267,Oued_El_Makhazine
2020-09-10,7097294.773693248,Oued_El_Makhazine
2020-09-10,7101278.264244647,Oued_El_Makhazine
2020-09-28,7016996.33604066,Oued_El_Makhazine
2020-09-28,7015247.91525424,Oued_El_Makhazine
2020-10-08,7018594.048353964,Oued_El_Makhazine
2020-10-13,7023011.769074323,Oued_El_Makhazine
2020-10-13,7001761.731468768,Oued_El_Makhazine
2020-10-18,6983673.758210784,Oued_El_Makhazine
2020-10-25,6974804.624769022,Oued_El_Makhazine
2020-10-25,6983118.624946265,Oued_El_Makhazine
2020-10-28,7003835.858887555,Oued_El_Makhazine
2020-10-28,6991242.1452750405,Oued_El_Makhazine
2020-11-02,6999009.950484091,Oued_El_Makhazine
2020-11-09,7084491.166499358,Oued_El_Makhazine
2020-11-17,7036597.656342389,Oued_El_Makhazine
2020-11-17,7046167.211684043,Oued_El_Makhazine
2020-11-19,7040526.011131854,Oued_El_Makhazine
2020-11-22,6992913.57360265,Oued_El_Makhazine
2020-11-22,7032533.286919207,Oued_El_Makhazine
2020-11-24,6951882.2095452985,Oued_El_Makhazine
2020-11-24,6964991.49190578,Oued_El_Makhazine
2020-12-02,6936775.466026754,Oued_El_Makhazine
2020-12-02,6941892.2378557995,Oued_El_Makhazine
2020-12-17,6889517.4518724615,Oued_El_Makhazine
2020-12-22,7048209.368037563,Oued_El_Makhazine
2020-12-22,7046311.227998381,Oued_El_Makhazine
2020-12-27,7066155.975861432,Oued_El_Makhazine
2020-12-27,7064555.282820517,Oued_El_Makhazine
2021-01-03,7033775.721141978,Oued_El_Makhazine
2021-01-03,7036932.521904559,Oued_El_Makhazine
2021-01-13,7609525.507506006,Oued_El_Makhazine
2021-01-13,7614287.602281039,Oued_El_Makhazine
2021-01-16,7591460.821210673,Oued_El_Makhazine
2021-01-16,7599779.341635789,Oued_El_Makhazine
2021-01-18,7507164.324384501,Oued_El_Makhazine
2021-01-18,7522296.452178715,Oued_El_Makhazine
2021-02-02,7455102.101117301,Oued_El_Makhazine
2021-02-02,7453817.652477068,Oued_El_Makhazine
2021-02-15,7656582.019697002,Oued_El_Makhazine
2021-02-15,7648844.286195283,Oued_El_Makhazine
2021-02-17,7515527.497096281,Oued_El_Makhazine
2021-03-22,7324959.418817618,Oued_El_Makhazine
