Date,NDWI,Surface
2022-01-01,-0.15370555555555557,17529420.798342116
2022-01-02,-0.15252974910394265,66418649.919445746
2022-01-03,-0.15135394265232976,115307879.04054937
2022-01-04,-0.15017813620071685,78259311.06052119
2022-01-05,-0.14900232974910396,41210743.080493
2022-01-06,-0.14782652329749105,4162175.1004648255
2022-01-07,-0.14665071684587813,58042775.74899234
2022-01-08,-0.14547491039426524,111923376.39751984
2022-01-09,-0.14429910394265233,4165207.842351578
2022-01-10,-0.14312329749103944,32255546.825932123
2022-01-11,-0.14194749103942653,60345885.80951267
2022-01-12,-0.14077168458781364,88436224.7930932
2022-01-13,-0.13959587813620072,116526563.77667375
2022-01-14,-0.1384200716845878,4160404.2760673985
2022-01-15,-0.13724426523297492,10820196.014568374
2022-01-16,-0.136068458781362,17479987.75306935
2022-01-17,-0.13489265232974912,12102343.728807993
2022-01-18,-0.1337168458781362,6724699.70454664
2022-01-19,-0.1325410394265233,1347055.6802852857
2022-01-20,-0.1313652329749104,7327620.062253106
2022-01-21,-0.13018942652329749,13308184.444220927
2022-01-22,-0.1290136200716846,10743266.302019138
2022-01-23,-0.12783781362007168,8178348.159817348
2022-01-24,-0.12666200716845877,5613430.017615559
2022-01-25,-0.12548620071684588,3048511.87541377
2022-01-26,-0.12431039426523297,483593.7332119811
2022-01-27,-0.12313458781362006,1602570.2833396764
2022-01-28,-0.12195878136200716,2721546.8334673718
2022-01-29,-0.12078297491039426,3840523.383595067
2022-01-30,-0.11960716845878136,1920261.6917975335
2022-01-31,-0.11843136200716844,0.0
2022-02-01,-0.11725555555555554,58084052.63634515
2022-02-02,-0.11590861344537814,116168105.2726903
2022-02-03,-0.11456167133520073,116119399.24853246
2022-02-04,-0.11321472922502333,116070693.22437462
2022-02-05,-0.11186778711484592,116021987.2002168
2022-02-06,-0.11052084500466852,115973281.17605896
2022-02-07,-0.10917390289449112,115924575.15190113
2022-02-08,-0.10782696078431371,2726560.799557556
2022-02-09,-0.10648001867413631,6048732.8251816705
2022-02-10,-0.1051330765639589,9370904.850805784
2022-02-11,-0.1037861344537815,57824969.58524614
2022-02-12,-0.1024391923436041,106279034.3196865
2022-02-13,-0.10109225023342669,4062199.2179693487
2022-02-14,-0.09974530812324929,10778496.346402995
2022-02-15,-0.09839836601307189,17494793.47483664
2022-02-16,-0.09705142390289448,66471920.36629736
2022-02-17,-0.09570448179271708,115449047.25775808
2022-02-18,-0.09435753968253967,81419474.06774446
2022-02-19,-0.09301059757236227,47389900.87773083
2022-02-20,-0.09166365546218486,13360327.687717212
2022-02-21,-0.09031671335200746,36425620.138194434
2022-02-22,-0.08896977124183006,59490912.588671654
2022-02-23,-0.08762282913165265,50250351.106861465
2022-02-24,-0.08627588702147525,41009789.625051275
2022-02-25,-0.08492894491129785,31769228.143241085
2022-02-26,-0.08358200280112044,22528666.661430895
2022-02-27,-0.08223506069094304,13288105.179620706
2022-02-28,-0.08088811858076564,4047543.6978105144
2022-03-01,-0.07954117647058823,10736513.726731485
2022-03-02,-0.07986207041956567,17425483.755652454
2022-03-03,-0.08018296436854311,12523236.389815345
2022-03-04,-0.08050385831752055,7620989.023978239
2022-03-05,-0.08082475226649799,2718741.6581411334
2022-03-06,-0.08114564621547543,3391137.6589915566
2022-03-07,-0.08146654016445287,4063533.65984198
2022-03-08,-0.08178743411343031,4074150.698816717
2022-03-09,-0.08210832806240775,4084767.7377914544
2022-03-10,-0.0824292220113852,4095384.7767661917
2022-03-11,-0.08275011596036264,16031065.58913151
2022-03-12,-0.08307100990934008,27966746.401496828
2022-03-13,-0.08339190385831752,39902427.21386214
2022-03-14,-0.08371279780729496,51838108.02622746
2022-03-15,-0.0840336917562724,63773788.838592775
2022-03-16,-0.08435458570524984,75709469.6509581
2022-03-17,-0.08467547965422728,87645150.46332341
2022-03-18,-0.08499637360320472,99580831.27568874
2022-03-19,-0.08531726755218216,111516512.08805406
2022-03-20,-0.0856381615011596,101631634.05916533
2022-03-21,-0.08595905545013705,91746756.0302766
2022-03-22,-0.08627994939911449,81861878.00138786
2022-03-23,-0.08660084334809193,71976999.97249913
2022-03-24,-0.08692173729706937,62092121.94361041
2022-03-25,-0.08724263124604681,52207243.91472168
2022-03-26,-0.08756352519502425,42322365.88583295
2022-03-27,-0.08788441914400169,32437487.85694422
2022-03-28,-0.08820531309297913,22552609.828055486
2022-03-29,-0.08852620704195657,12667731.799166754
2022-03-30,-0.08884710099093401,2782853.7702780343
2022-03-31,-0.08916799493991145,2766803.3909470513
2022-04-01,-0.0894888888888889,2750753.011616068
2022-04-02,-0.08935907407407408,17968317.99247661
2022-04-03,-0.08922925925925927,33185882.97333715
2022-04-04,-0.08909944444444445,48403447.95419769
2022-04-05,-0.08896962962962963,63621012.93505823
2022-04-06,-0.08883981481481482,78838577.91591877
2022-04-07,-0.08871000000000001,94056142.89677931
2022-04-08,-0.08858018518518519,109273707.87763985
2022-04-09,-0.08845037037037037,4134331.670468081
2022-04-10,-0.08832055555555555,3432299.5006428445
2022-04-11,-0.08819074074074075,2730267.330817608
2022-04-12,-0.08806092592592593,3206036.74223605
2022-04-13,-0.08793111111111111,3681806.153654491
2022-04-14,-0.0878012962962963,4157575.5650729327
2022-04-15,-0.08767148148148149,9289745.649403112
2022-04-16,-0.08754166666666667,14421915.73373329
2022-04-17,-0.08741185185185185,53347104.18808291
2022-04-18,-0.08728203703703705,92272292.64243254
2022-04-19,-0.08715222222222223,62892257.51949938
2022-04-20,-0.08702240740740741,33512222.396566212
2022-04-21,-0.08689259259259259,4132187.273633053
2022-04-22,-0.08676277777777779,6946655.062629989
2022-04-23,-0.08663296296296297,9761122.851626925
2022-04-24,-0.08650314814814815,12575590.640623862
2022-04-25,-0.08637333333333333,15390058.429620799
2022-04-26,-0.08624351851851852,18204526.218617734
2022-04-27,-0.0861137037037037,21018994.00761467
2022-04-28,-0.08598388888888889,23833461.796611607
2022-04-29,-0.08585407407407408,19458110.002192967
2022-04-30,-0.08572425925925926,15082758.207774328
2022-05-01,-0.08559444444444445,10707406.41335569
2022-05-02,-0.0861747311827957,8496594.165087413
2022-05-03,-0.08675501792114695,6285781.916819136
2022-05-04,-0.08733530465949821,4074969.668550859
2022-05-05,-0.08791559139784946,10853898.413248338
2022-05-06,-0.08849587813620072,17632827.15794582
2022-05-07,-0.08907616487455197,66867987.14498975
2022-05-08,-0.08965645161290323,116103147.13203369
2022-05-09,-0.09023673835125448,4183450.5556053026
2022-05-10,-0.09081702508960574,4139106.1811921373
2022-05-11,-0.09139731182795699,4094761.8067789725
2022-05-12,-0.09197759856630824,59997941.60662157
2022-05-13,-0.0925578853046595,115901121.40646416
2022-05-14,-0.09313817204301075,1349785.5547018617
2022-05-15,-0.09371845878136201,9519255.242266607
2022-05-16,-0.09429874551971326,17688724.929831352
2022-05-17,-0.09487903225806452,66374890.78719501
2022-05-18,-0.09545931899641577,115061056.64455868
2022-05-19,-0.09603960573476703,1351386.7606955138
2022-05-20,-0.09661989247311828,29898461.288390193
2022-05-21,-0.09720017921146953,58445535.81608488
2022-05-22,-0.09778046594982079,86992610.34377956
2022-05-23,-0.09836075268817204,115539684.87147424
2022-05-24,-0.0989410394265233,1343380.7729940978
2022-05-25,-0.09952132616487455,8830020.287213493
2022-05-26,-0.1001016129032258,16316659.801432889
2022-05-27,-0.10068189964157706,16559844.244610906
2022-05-28,-0.10126218637992832,16803028.687788922
2022-05-29,-0.10184247311827957,17046213.13096694
2022-05-30,-0.10242275985663082,17289397.574144956
2022-05-31,-0.10300304659498208,17532582.017322972
2022-06-01,-0.10358333333333333,11851723.88118653
2022-06-02,-0.10365296296296296,6170865.745050088
2022-06-03,-0.10372259259259259,490007.608913646
2022-06-04,-0.10379222222222222,9019492.974739403
2022-06-05,-0.10386185185185186,17548978.34056516
2022-06-06,-0.10393148148148149,65807764.74803403
2022-06-07,-0.10400111111111111,114066551.1555029
2022-06-08,-0.10407074074074074,1340765.4915630268
2022-06-09,-0.10414037037037037,4666632.842407586
2022-06-10,-0.10421,7992500.193252144
2022-06-11,-0.10427962962962962,31435764.5157895
2022-06-12,-0.10434925925925925,54879028.83832686
2022-06-13,-0.1044188888888889,55643740.7075761
2022-06-14,-0.10448851851851852,56408452.57682535
2022-06-15,-0.10455814814814815,57173164.44607459
2022-06-16,-0.10462777777777778,57937876.31532384
2022-06-17,-0.1046974074074074,58702588.184573084
2022-06-18,-0.10476703703703703,39539368.411031574
2022-06-19,-0.10483666666666666,20376148.63749007
2022-06-20,-0.1049062962962963,1212928.863948568
2022-06-21,-0.10497592592592593,18326173.92188757
2022-06-22,-0.10504555555555556,35439418.97982657
2022-06-23,-0.10511518518518519,1327304.4537343944
2022-06-24,-0.10518481481481481,9109441.900933957
2022-06-25,-0.10525444444444444,16891579.34813352
2022-06-26,-0.10532407407407407,64774356.09337082
2022-06-27,-0.1053937037037037,112657132.83860812
2022-06-28,-0.10546333333333334,1323552.638169472
2022-06-29,-0.10553296296296297,9302557.476574048
2022-06-30,-0.1056025925925926,17281562.314978626
2022-07-01,-0.10567222222222222,64610728.333483234
2022-07-02,-0.10592293906810035,111939894.35198785
2022-07-03,-0.1061736559139785,77930119.40608868
2022-07-04,-0.10642437275985663,43920344.46018952
2022-07-05,-0.10667508960573477,9910569.514290364
2022-07-06,-0.1069258064516129,60682466.953279406
2022-07-07,-0.10717652329749104,111454364.39226845
2022-07-08,-0.10742724014336917,1329015.5442184152
2022-07-09,-0.10767795698924731,7252751.977415436
2022-07-10,-0.10792867383512544,13176488.410612457
2022-07-11,-0.10817939068100359,38557409.103125125
2022-07-12,-0.10843010752688172,63938329.7956378
2022-07-13,-0.10868082437275985,1320358.0930597046
2022-07-14,-0.10893154121863799,7249407.287606093
2022-07-15,-0.10918225806451612,13178456.48215248
2022-07-16,-0.10943297491039426,62076400.514369205
2022-07-17,-0.10968369175627239,110974344.54658593
2022-07-18,-0.10993440860215054,82722968.23667233
2022-07-19,-0.11018512544802866,54471591.926758714
2022-07-20,-0.11043584229390681,26220215.6168451
2022-07-21,-0.11068655913978494,68420161.09639451
2022-07-22,-0.11093727598566308,110620106.57594393
2022-07-23,-0.11118799283154121,75921685.26683943
2022-07-24,-0.11143870967741934,41223263.95773493
