-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
27.5,-9.5,2020,1,15.4
27.5,-8.5,2020,1,15.5
27.5,-7.5,2020,1,15.3
27.5,-6.5,2020,1,15.02
27.5,-5.5,2020,1,15.21
27.5,-4.5,2020,1,15.44
27.5,-3.5,2020,1,15.34
27.5,-2.5,2020,1,15.29
27.5,-1.5,2020,1,14.7
28.5,-9.5,2020,1,14.68
28.5,-8.5,2020,1,14.77
28.5,-7.5,2020,1,14.59
28.5,-6.5,2020,1,14.42
28.5,-5.5,2020,1,14.49
28.5,-4.5,2020,1,14.9
28.5,-3.5,2020,1,14.89
28.5,-2.5,2020,1,15.14
28.5,-1.5,2020,1,15.08
29.5,-9.5,2020,1,14.86
29.5,-8.5,2020,1,14.89
29.5,-7.5,2020,1,15.18
29.5,-6.5,2020,1,15.22
29.5,-5.5,2020,1,15.26
29.5,-4.5,2020,1,15.23
29.5,-3.5,2020,1,15.36
29.5,-2.5,2020,1,14.74
29.5,-1.5,2020,1,15.19
30.5,-9.5,2020,1,14.04
30.5,-8.5,2020,1,14.17
30.5,-7.5,2020,1,14.81
30.5,-6.5,2020,1,14.79
30.5,-5.5,2020,1,14.75
30.5,-4.5,2020,1,14.7
30.5,-3.5,2020,1,14.82
30.5,-2.5,2020,1,14.73
30.5,-1.5,2020,1,14.98
31.5,-9.5,2020,1,13.64
31.5,-8.5,2020,1,13.72
31.5,-7.5,2020,1,13.9
31.5,-6.5,2020,1,14.24
31.5,-5.5,2020,1,14.39
31.5,-4.5,2020,1,14.19
31.5,-3.5,2020,1,14.3
31.5,-2.5,2020,1,14.19
31.5,-1.5,2020,1,14.07
32.5,-9.5,2020,1,12.0
32.5,-8.5,2020,1,12.83
32.5,-7.5,2020,1,13.21
32.5,-6.5,2020,1,13.36
32.5,-5.5,2020,1,13.58
32.5,-4.5,2020,1,13.76
32.5,-3.5,2020,1,13.76
32.5,-2.5,2020,1,13.87
32.5,-1.5,2020,1,13.97
33.5,-9.5,2020,1,9.94
33.5,-8.5,2020,1,10.03
33.5,-7.5,2020,1,12.23
33.5,-6.5,2020,1,12.8
33.5,-5.5,2020,1,13.02
33.5,-4.5,2020,1,12.83
33.5,-3.5,2020,1,13.08
33.5,-2.5,2020,1,13.28
33.5,-1.5,2020,1,13.36
34.5,-9.5,2020,1,10.27
34.5,-8.5,2020,1,10.85
34.5,-7.5,2020,1,11.02
34.5,-6.5,2020,1,11.7
34.5,-5.5,2020,1,12.21
34.5,-4.5,2020,1,12.41
34.5,-3.5,2020,1,12.21
34.5,-2.5,2020,1,12.29
34.5,-1.5,2020,1,12.32
35.5,-9.5,2020,1,9.58
35.5,-8.5,2020,1,11.55
35.5,-7.5,2020,1,11.6
35.5,-6.5,2020,1,11.55
35.5,-5.5,2020,1,10.85
35.5,-4.5,2020,1,8.2
35.5,-3.5,2020,1,10.33
35.5,-2.5,2020,1,11.28
