-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
27.5,-9.5,2023,1,14.77
27.5,-8.5,2023,1,14.55
27.5,-7.5,2023,1,13.87
27.5,-6.5,2023,1,11.87
27.5,-5.5,2023,1,8.4
27.5,-4.5,2023,1,6.52
27.5,-3.5,2023,1,8.78
27.5,-2.5,2023,1,10.12
27.5,-1.5,2023,1,11.04
28.5,-9.5,2023,1,14.2
28.5,-8.5,2023,1,14.22
28.5,-7.5,2023,1,13.04
28.5,-6.5,2023,1,9.29
28.5,-5.5,2023,1,6.46
28.5,-4.5,2023,1,6.87
28.5,-3.5,2023,1,7.87
28.5,-2.5,2023,1,9.08
28.5,-1.5,2023,1,10.06
29.5,-9.5,2023,1,14.29
29.5,-8.5,2023,1,14.43
29.5,-7.5,2023,1,12.29
29.5,-6.5,2023,1,10.44
29.5,-5.5,2023,1,5.98
29.5,-4.5,2023,1,7.65
29.5,-3.5,2023,1,9.18
29.5,-2.5,2023,1,9.4
29.5,-1.5,2023,1,9.55
30.5,-9.5,2023,1,13.61
30.5,-8.5,2023,1,13.92
30.5,-7.5,2023,1,11.94
30.5,-6.5,2023,1,9.36
30.5,-5.5,2023,1,6.75
30.5,-4.5,2023,1,8.42
30.5,-3.5,2023,1,8.88
30.5,-2.5,2023,1,9.11
30.5,-1.5,2023,1,9.29
31.5,-9.5,2023,1,13.07
31.5,-8.5,2023,1,13.23
31.5,-7.5,2023,1,11.64
31.5,-6.5,2023,1,9.74
31.5,-5.5,2023,1,7.67
31.5,-4.5,2023,1,10.2
31.5,-3.5,2023,1,9.92
31.5,-2.5,2023,1,8.71
31.5,-1.5,2023,1,9.55
32.5,-9.5,2023,1,12.27
32.5,-8.5,2023,1,12.33
32.5,-7.5,2023,1,9.87
32.5,-6.5,2023,1,8.9
32.5,-5.5,2023,1,9.46
32.5,-4.5,2023,1,9.24
32.5,-3.5,2023,1,8.93
32.5,-2.5,2023,1,8.88
32.5,-1.5,2023,1,9.2
33.5,-9.5,2023,1,11.99
33.5,-8.5,2023,1,11.59
33.5,-7.5,2023,1,10.17
33.5,-6.5,2023,1,10.68
33.5,-5.5,2023,1,10.52
33.5,-4.5,2023,1,8.7
33.5,-3.5,2023,1,8.48
33.5,-2.5,2023,1,8.4
33.5,-1.5,2023,1,8.42
34.5,-9.5,2023,1,11.11
34.5,-8.5,2023,1,10.99
34.5,-7.5,2023,1,10.24
34.5,-6.5,2023,1,9.27
34.5,-5.5,2023,1,10.39
34.5,-4.5,2023,1,9.3
34.5,-3.5,2023,1,8.86
34.5,-2.5,2023,1,8.99
34.5,-1.5,2023,1,8.54
35.5,-9.5,2023,1,10.39
35.5,-8.5,2023,1,10.66
35.5,-7.5,2023,1,9.96
35.5,-6.5,2023,1,8.8
35.5,-5.5,2023,1,10.07
35.5,-4.5,2023,1,9.98
35.5,-3.5,2023,1,10.06
35.5,-2.5,2023,1,9.38
35.5,-1.5,2023,1,8.49
27.5,-9.5,2023,2,15.6
27.5,-8.5,2023,2,15.07
27.5,-7.5,2023,2,15.14
27.5,-6.5,2023,2,14.21
27.5,-5.5,2023,2,14.59
27.5,-4.5,2023,2,14.0
27.5,-3.5,2023,2,14.34
27.5,-2.5,2023,2,14.77
27.5,-1.5,2023,2,14.92
28.5,-9.5,2023,2,15.04
28.5,-8.5,2023,2,14.99
28.5,-7.5,2023,2,14.59
28.5,-6.5,2023,2,14.01
28.5,-5.5,2023,2,13.86
28.5,-4.5,2023,2,12.09
28.5,-3.5,2023,2,12.52
28.5,-2.5,2023,2,12.9
28.5,-1.5,2023,2,14.25
29.5,-9.5,2023,2,14.48
29.5,-8.5,2023,2,14.56
29.5,-7.5,2023,2,14.52
29.5,-6.5,2023,2,14.48
29.5,-5.5,2023,2,14.06
29.5,-4.5,2023,2,10.43
29.5,-3.5,2023,2,9.71
29.5,-2.5,2023,2,13.06
29.5,-1.5,2023,2,12.84
30.5,-9.5,2023,2,13.19
30.5,-8.5,2023,2,14.03
30.5,-7.5,2023,2,14.15
30.5,-6.5,2023,2,14.03
30.5,-5.5,2023,2,13.69
30.5,-4.5,2023,2,10.93
30.5,-3.5,2023,2,8.76
30.5,-2.5,2023,2,11.04
30.5,-1.5,2023,2,10.89
31.5,-9.5,2023,2,12.0
31.5,-8.5,2023,2,12.85
31.5,-7.5,2023,2,13.44
31.5,-6.5,2023,2,13.78
31.5,-5.5,2023,2,13.53
31.5,-4.5,2023,2,12.86
31.5,-3.5,2023,2,9.9
31.5,-2.5,2023,2,10.26
31.5,-1.5,2023,2,10.06
32.5,-9.5,2023,2,10.24
32.5,-8.5,2023,2,11.86
32.5,-7.5,2023,2,12.67
32.5,-6.5,2023,2,12.73
32.5,-5.5,2023,2,12.98
32.5,-4.5,2023,2,12.72
32.5,-3.5,2023,2,10.53
32.5,-2.5,2023,2,9.39
32.5,-1.5,2023,2,9.03
33.5,-9.5,2023,2,5.89
33.5,-8.5,2023,2,9.06
33.5,-7.5,2023,2,11.65
33.5,-6.5,2023,2,12.02
33.5,-5.5,2023,2,12.18
33.5,-4.5,2023,2,12.1
33.5,-3.5,2023,2,11.21
33.5,-2.5,2023,2,10.17
33.5,-1.5,2023,2,8.58
34.5,-9.5,2023,2,3.6
34.5,-8.5,2023,2,5.03
34.5,-7.5,2023,2,6.93
34.5,-6.5,2023,2,8.6
34.5,-5.5,2023,2,11.21
34.5,-4.5,2023,2,11.11
34.5,-3.5,2023,2,11.32
34.5,-2.5,2023,2,10.96
34.5,-1.5,2023,2,9.57
35.5,-9.5,2023,2,6.14
35.5,-8.5,2023,2,5.04
35.5,-7.5,2023,2,2.7
35.5,-6.5,2023,2,3.73
35.5,-5.5,2023,2,6.77
35.5,-4.5,2023,2,10.19
35.5,-3.5,2023,2,10.24
35.5,-2.5,2023,2,10.21
35.5,-1.5,2023,2,10.38
27.5,-9.5,2023,3,15.15
27.5,-8.5,2023,3,15.23
27.5,-7.5,2023,3,14.76
27.5,-6.5,2023,3,14.35
27.5,-5.5,2023,3,14.38
27.5,-4.5,2023,3,14.51
27.5,-3.5,2023,3,14.52
27.5,-2.5,2023,3,14.92
27.5,-1.5,2023,3,15.27
28.5,-9.5,2023,3,14.53
28.5,-8.5,2023,3,14.61
28.5,-7.5,2023,3,14.08
28.5,-6.5,2023,3,13.76
28.5,-5.5,2023,3,13.7
28.5,-4.5,2023,3,14.07
28.5,-3.5,2023,3,14.06
28.5,-2.5,2023,3,14.54
28.5,-1.5,2023,3,14.61
29.5,-9.5,2023,3,14.34
29.5,-8.5,2023,3,14.52
29.5,-7.5,2023,3,14.55
29.5,-6.5,2023,3,14.59
29.5,-5.5,2023,3,14.75
29.5,-4.5,2023,3,14.69
29.5,-3.5,2023,3,14.68
29.5,-2.5,2023,3,14.52
29.5,-1.5,2023,3,14.82
30.5,-9.5,2023,3,12.81
30.5,-8.5,2023,3,13.88
30.5,-7.5,2023,3,14.36
30.5,-6.5,2023,3,14.27
30.5,-5.5,2023,3,14.14
30.5,-4.5,2023,3,14.17
30.5,-3.5,2023,3,13.1
30.5,-2.5,2023,3,13.04
30.5,-1.5,2023,3,14.78
31.5,-9.5,2023,3,11.83
31.5,-8.5,2023,3,11.71
31.5,-7.5,2023,3,13.2
31.5,-6.5,2023,3,13.88
31.5,-5.5,2023,3,13.96
31.5,-4.5,2023,3,13.77
31.5,-3.5,2023,3,12.58
31.5,-2.5,2023,3,13.02
31.5,-1.5,2023,3,13.61
32.5,-9.5,2023,3,10.68
32.5,-8.5,2023,3,11.05
32.5,-7.5,2023,3,11.42
32.5,-6.5,2023,3,11.62
32.5,-5.5,2023,3,12.92
32.5,-4.5,2023,3,13.0
32.5,-3.5,2023,3,12.7
32.5,-2.5,2023,3,12.99
32.5,-1.5,2023,3,12.71
33.5,-9.5,2023,3,8.81
33.5,-8.5,2023,3,9.41
33.5,-7.5,2023,3,10.15
33.5,-6.5,2023,3,10.59
33.5,-5.5,2023,3,11.41
33.5,-4.5,2023,3,12.05
33.5,-3.5,2023,3,12.03
33.5,-2.5,2023,3,11.79
33.5,-1.5,2023,3,9.96
34.5,-9.5,2023,3,11.05
34.5,-8.5,2023,3,11.38
34.5,-7.5,2023,3,9.68
34.5,-6.5,2023,3,10.12
34.5,-5.5,2023,3,10.77
34.5,-4.5,2023,3,11.18
34.5,-3.5,2023,3,11.37
34.5,-2.5,2023,3,11.18
34.5,-1.5,2023,3,10.32
35.5,-9.5,2023,3,11.31
35.5,-8.5,2023,3,11.45
35.5,-7.5,2023,3,10.66
35.5,-6.5,2023,3,9.45
35.5,-5.5,2023,3,10.53
35.5,-4.5,2023,3,10.3
35.5,-3.5,2023,3,10.02
35.5,-2.5,2023,3,9.81
35.5,-1.5,2023,3,10.22
27.5,-9.5,2023,4,15.18
27.5,-8.5,2023,4,14.21
27.5,-7.5,2023,4,13.49
27.5,-6.5,2023,4,12.2
27.5,-5.5,2023,4,12.39
27.5,-4.5,2023,4,11.81
27.5,-3.5,2023,4,12.04
27.5,-2.5,2023,4,12.38
27.5,-1.5,2023,4,12.51
28.5,-9.5,2023,4,13.87
28.5,-8.5,2023,4,14.18
28.5,-7.5,2023,4,12.29
28.5,-6.5,2023,4,10.55
28.5,-5.5,2023,4,11.33
28.5,-4.5,2023,4,11.29
28.5,-3.5,2023,4,11.69
28.5,-2.5,2023,4,11.97
28.5,-1.5,2023,4,11.97
29.5,-9.5,2023,4,13.68
