-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
27.5,-9.5,2024,1,15.1
27.5,-8.5,2024,1,15.22
27.5,-7.5,2024,1,15.25
27.5,-6.5,2024,1,15.08
27.5,-5.5,2024,1,14.93
27.5,-4.5,2024,1,15.05
27.5,-3.5,2024,1,15.02
27.5,-2.5,2024,1,14.9
27.5,-1.5,2024,1,14.89
28.5,-9.5,2024,1,13.92
28.5,-8.5,2024,1,14.32
28.5,-7.5,2024,1,14.35
28.5,-6.5,2024,1,14.5
28.5,-5.5,2024,1,14.56
28.5,-4.5,2024,1,14.34
28.5,-3.5,2024,1,14.11
28.5,-2.5,2024,1,13.01
28.5,-1.5,2024,1,13.89
29.5,-9.5,2024,1,11.11
29.5,-8.5,2024,1,11.4
29.5,-7.5,2024,1,12.6
29.5,-6.5,2024,1,13.75
29.5,-5.5,2024,1,13.39
29.5,-4.5,2024,1,13.35
29.5,-3.5,2024,1,13.17
29.5,-2.5,2024,1,13.07
29.5,-1.5,2024,1,13.85
30.5,-9.5,2024,1,10.74
30.5,-8.5,2024,1,9.69
30.5,-7.5,2024,1,10.31
30.5,-6.5,2024,1,11.32
30.5,-5.5,2024,1,12.9
30.5,-4.5,2024,1,12.82
30.5,-3.5,2024,1,13.21
30.5,-2.5,2024,1,13.84
30.5,-1.5,2024,1,13.82
31.5,-9.5,2024,1,12.77
31.5,-8.5,2024,1,10.85
31.5,-7.5,2024,1,9.34
31.5,-6.5,2024,1,8.14
31.5,-5.5,2024,1,8.32
31.5,-4.5,2024,1,9.68
31.5,-3.5,2024,1,10.02
31.5,-2.5,2024,1,11.61
31.5,-1.5,2024,1,11.75
32.5,-9.5,2024,1,12.5
32.5,-8.5,2024,1,12.69
32.5,-7.5,2024,1,12.5
32.5,-6.5,2024,1,10.74
32.5,-5.5,2024,1,8.14
32.5,-4.5,2024,1,4.83
32.5,-3.5,2024,1,4.95
32.5,-2.5,2024,1,6.8
32.5,-1.5,2024,1,8.78
33.5,-9.5,2024,1,11.73
33.5,-8.5,2024,1,11.59
33.5,-7.5,2024,1,12.01
33.5,-6.5,2024,1,11.95
33.5,-5.5,2024,1,10.68
33.5,-4.5,2024,1,7.94
33.5,-3.5,2024,1,5.45
33.5,-2.5,2024,1,4.96
33.5,-1.5,2024,1,5.69
34.5,-9.5,2024,1,11.05
34.5,-8.5,2024,1,11.26
34.5,-7.5,2024,1,11.38
34.5,-6.5,2024,1,11.28
34.5,-5.5,2024,1,11.36
34.5,-4.5,2024,1,10.45
34.5,-3.5,2024,1,8.3
34.5,-2.5,2024,1,6.48
34.5,-1.5,2024,1,6.1
35.5,-9.5,2024,1,10.72
35.5,-8.5,2024,1,10.84
35.5,-7.5,2024,1,10.75
35.5,-6.5,2024,1,10.55
35.5,-5.5,2024,1,10.46
35.5,-4.5,2024,1,10.67
35.5,-3.5,2024,1,10.38
35.5,-2.5,2024,1,9.65
35.5,-1.5,2024,1,8.95
27.5,-9.5,2024,2,15.74
27.5,-8.5,2024,2,15.86
27.5,-7.5,2024,2,15.79
27.5,-6.5,2024,2,15.76
27.5,-5.5,2024,2,15.76
27.5,-4.5,2024,2,15.78
27.5,-3.5,2024,2,15.64
27.5,-2.5,2024,2,15.36
27.5,-1.5,2024,2,15.01
28.5,-9.5,2024,2,15.09
28.5,-8.5,2024,2,15.02
28.5,-7.5,2024,2,15.23
28.5,-6.5,2024,2,15.25
28.5,-5.5,2024,2,15.22
28.5,-4.5,2024,2,15.3
28.5,-3.5,2024,2,15.24
28.5,-2.5,2024,2,15.14
28.5,-1.5,2024,2,15.23
29.5,-9.5,2024,2,14.56
29.5,-8.5,2024,2,14.9
29.5,-7.5,2024,2,14.77
29.5,-6.5,2024,2,14.88
29.5,-5.5,2024,2,14.92
29.5,-4.5,2024,2,14.88
29.5,-3.5,2024,2,14.82
29.5,-2.5,2024,2,14.27
29.5,-1.5,2024,2,14.91
30.5,-9.5,2024,2,13.93
30.5,-8.5,2024,2,14.28
30.5,-7.5,2024,2,14.59
30.5,-6.5,2024,2,14.54
30.5,-5.5,2024,2,14.5
30.5,-4.5,2024,2,14.43
30.5,-3.5,2024,2,14.46
30.5,-2.5,2024,2,14.39
30.5,-1.5,2024,2,14.45
31.5,-9.5,2024,2,13.13
31.5,-8.5,2024,2,13.09
31.5,-7.5,2024,2,12.67
31.5,-6.5,2024,2,13.6
31.5,-5.5,2024,2,13.88
31.5,-4.5,2024,2,14.02
31.5,-3.5,2024,2,14.1
31.5,-2.5,2024,2,13.91
31.5,-1.5,2024,2,13.43
32.5,-9.5,2024,2,12.34
32.5,-8.5,2024,2,11.94
32.5,-7.5,2024,2,11.63
32.5,-6.5,2024,2,12.24
32.5,-5.5,2024,2,12.74
32.5,-4.5,2024,2,12.15
32.5,-3.5,2024,2,13.19
32.5,-2.5,2024,2,13.2
32.5,-1.5,2024,2,13.18
33.5,-9.5,2024,2,11.07
33.5,-8.5,2024,2,11.08
33.5,-7.5,2024,2,11.71
33.5,-6.5,2024,2,11.53
33.5,-5.5,2024,2,11.89
33.5,-4.5,2024,2,11.48
33.5,-3.5,2024,2,11.83
33.5,-2.5,2024,2,12.0
33.5,-1.5,2024,2,12.87
34.5,-9.5,2024,2,10.28
34.5,-8.5,2024,2,9.59
34.5,-7.5,2024,2,10.25
34.5,-6.5,2024,2,10.67
34.5,-5.5,2024,2,11.37
34.5,-4.5,2024,2,11.22
34.5,-3.5,2024,2,10.85
34.5,-2.5,2024,2,11.56
34.5,-1.5,2024,2,11.74
35.5,-9.5,2024,2,10.36
35.5,-8.5,2024,2,10.24
35.5,-7.5,2024,2,10.62
35.5,-6.5,2024,2,10.79
35.5,-5.5,2024,2,11.19
35.5,-4.5,2024,2,11.06
35.5,-3.5,2024,2,10.97
35.5,-2.5,2024,2,10.9
35.5,-1.5,2024,2,11.17
27.5,-9.5,2024,3,15.85
27.5,-8.5,2024,3,15.94
27.5,-7.5,2024,3,15.92
27.5,-6.5,2024,3,15.86
27.5,-5.5,2024,3,15.89
27.5,-4.5,2024,3,15.85
27.5,-3.5,2024,3,15.67
27.5,-2.5,2024,3,15.77
27.5,-1.5,2024,3,15.51
28.5,-9.5,2024,3,15.19
28.5,-8.5,2024,3,15.3
28.5,-7.5,2024,3,15.35
28.5,-6.5,2024,3,15.35
28.5,-5.5,2024,3,15.23
28.5,-4.5,2024,3,15.34
28.5,-3.5,2024,3,15.26
28.5,-2.5,2024,3,15.2
28.5,-1.5,2024,3,14.76
29.5,-9.5,2024,3,14.61
29.5,-8.5,2024,3,14.81
29.5,-7.5,2024,3,14.69
29.5,-6.5,2024,3,14.93
29.5,-5.5,2024,3,14.99
29.5,-4.5,2024,3,14.93
29.5,-3.5,2024,3,14.65
29.5,-2.5,2024,3,14.59
29.5,-1.5,2024,3,14.73
30.5,-9.5,2024,3,13.88
30.5,-8.5,2024,3,14.32
30.5,-7.5,2024,3,14.66
30.5,-6.5,2024,3,14.54
30.5,-5.5,2024,3,14.49
30.5,-4.5,2024,3,14.41
30.5,-3.5,2024,3,14.28
30.5,-2.5,2024,3,14.21
30.5,-1.5,2024,3,14.26
31.5,-9.5,2024,3,13.27
31.5,-8.5,2024,3,13.59
31.5,-7.5,2024,3,13.82
31.5,-6.5,2024,3,14.07
31.5,-5.5,2024,3,14.18
31.5,-4.5,2024,3,13.94
31.5,-3.5,2024,3,13.78
31.5,-2.5,2024,3,13.85
31.5,-1.5,2024,3,13.3
32.5,-9.5,2024,3,12.71
32.5,-8.5,2024,3,12.7
32.5,-7.5,2024,3,12.98
32.5,-6.5,2024,3,13.16
32.5,-5.5,2024,3,13.35
32.5,-4.5,2024,3,13.2
32.5,-3.5,2024,3,13.37
32.5,-2.5,2024,3,13.52
32.5,-1.5,2024,3,13.48
33.5,-9.5,2024,3,12.29
33.5,-8.5,2024,3,11.98
33.5,-7.5,2024,3,12.3
33.5,-6.5,2024,3,12.53
33.5,-5.5,2024,3,12.64
33.5,-4.5,2024,3,12.43
33.5,-3.5,2024,3,12.81
33.5,-2.5,2024,3,12.37
33.5,-1.5,2024,3,12.42
34.5,-9.5,2024,3,11.57
34.5,-8.5,2024,3,11.9
34.5,-7.5,2024,3,11.88
34.5,-6.5,2024,3,11.7
34.5,-5.5,2024,3,12.06
34.5,-4.5,2024,3,12.25
34.5,-3.5,2024,3,12.04
34.5,-2.5,2024,3,12.23
34.5,-1.5,2024,3,12.06
35.5,-9.5,2024,3,10.86
35.5,-8.5,2024,3,11.28
35.5,-7.5,2024,3,11.61
35.5,-6.5,2024,3,11.28
35.5,-5.5,2024,3,11.65
35.5,-4.5,2024,3,11.16
35.5,-3.5,2024,3,11.08
35.5,-2.5,2024,3,11.18
35.5,-1.5,2024,3,11.26
27.5,-9.5,2024,4,15.39
27.5,-8.5,2024,4,15.41
27.5,-7.5,2024,4,15.76
27.5,-6.5,2024,4,15.81
27.5,-5.5,2024,4,15.57
27.5,-4.5,2024,4,15.58
27.5,-3.5,2024,4,14.62
27.5,-2.5,2024,4,14.95
27.5,-1.5,2024,4,14.57
28.5,-9.5,2024,4,14.72
28.5,-8.5,2024,4,14.74
28.5,-7.5,2024,4,14.97
28.5,-6.5,2024,4,15.18
28.5,-5.5,2024,4,15.23
28.5,-4.5,2024,4,15.18
28.5,-3.5,2024,4,14.95
28.5,-2.5,2024,4,14.8
28.5,-1.5,2024,4,14.23
29.5,-9.5,2024,4,14.25
29.5,-8.5,2024,4,14.1
29.5,-7.5,2024,4,13.79
29.5,-6.5,2024,4,14.44
29.5,-5.5,2024,4,14.12
29.5,-4.5,2024,4,14.03
29.5,-3.5,2024,4,13.91
29.5,-2.5,2024,4,13.88
29.5,-1.5,2024,4,13.82
30.5,-9.5,2024,4,13.52
30.5,-8.5,2024,4,13.87
30.5,-7.5,2024,4,13.48
30.5,-6.5,2024,4,12.95
30.5,-5.5,2024,4,13.93
30.5,-4.5,2024,4,14.2
30.5,-3.5,2024,4,13.6
30.5,-2.5,2024,4,13.29
30.5,-1.5,2024,4,13.91
31.5,-9.5,2024,4,11.95
31.5,-8.5,2024,4,12.52
31.5,-7.5,2024,4,11.99
31.5,-6.5,2024,4,12.23
31.5,-5.5,2024,4,12.51
31.5,-4.5,2024,4,13.21
31.5,-3.5,2024,4,13.77
31.5,-2.5,2024,4,13.75
31.5,-1.5,2024,4,12.93
32.5,-9.5,2024,4,10.44
32.5,-8.5,2024,4,11.3
32.5,-7.5,2024,4,11.41
32.5,-6.5,2024,4,10.29
32.5,-5.5,2024,4,9.94
32.5,-4.5,2024,4,11.13
32.5,-3.5,2024,4,12.6
32.5,-2.5,2024,4,13.19
32.5,-1.5,2024,4,13.4
33.5,-9.5,2024,4,7.08
33.5,-8.5,2024,4,9.0
33.5,-7.5,2024,4,8.8
33.5,-6.5,2024,4,8.42
33.5,-5.5,2024,4,9.0
33.5,-4.5,2024,4,8.61
33.5,-3.5,2024,4,10.95
33.5,-2.5,2024,4,11.57
33.5,-1.5,2024,4,12.79
34.5,-9.5,2024,4,5.87
34.5,-8.5,2024,4,5.53
34.5,-7.5,2024,4,5.96
34.5,-6.5,2024,4,6.36
34.5,-5.5,2024,4,6.13
34.5,-4.5,2024,4,6.56
34.5,-3.5,2024,4,7.2
34.5,-2.5,2024,4,10.56
34.5,-1.5,2024,4,11.25
35.5,-9.5,2024,4,5.65
35.5,-8.5,2024,4,5.43
35.5,-7.5,2024,4,5.98
35.5,-6.5,2024,4,6.46
35.5,-5.5,2024,4,6.34
35.5,-4.5,2024,4,5.17
35.5,-3.5,2024,4,4.47
35.5,-2.5,2024,4,7.22
35.5,-1.5,2024,4,9.29
27.5,-9.5,2024,5,15.08
27.5,-8.5,2024,5,14.8
27.5,-7.5,2024,5,15.4
27.5,-6.5,2024,5,15.21
27.5,-5.5,2024,5,15.36
27.5,-4.5,2024,5,15.52
27.5,-3.5,2024,5,15.88
27.5,-2.5,2024,5,15.62
27.5,-1.5,2024,5,15.71
28.5,-9.5,2024,5,12.83
28.5,-8.5,2024,5,14.28
28.5,-7.5,2024,5,14.76
28.5,-6.5,2024,5,14.87
28.5,-5.5,2024,5,15.3
28.5,-4.5,2024,5,14.43
28.5,-3.5,2024,5,15.25
28.5,-2.5,2024,5,15.08
28.5,-1.5,2024,5,15.13
29.5,-9.5,2024,5,11.8
29.5,-8.5,2024,5,12.68
29.5,-7.5,2024,5,12.6
29.5,-6.5,2024,5,13.76
29.5,-5.5,2024,5,13.9
29.5,-4.5,2024,5,14.12
29.5,-3.5,2024,5,14.68
29.5,-2.5,2024,5,14.56
29.5,-1.5,2024,5,14.71
30.5,-9.5,2024,5,14.18
30.5,-8.5,2024,5,13.05
30.5,-7.5,2024,5,13.89
30.5,-6.5,2024,5,12.68
30.5,-5.5,2024,5,14.16
30.5,-4.5,2024,5,13.99
30.5,-3.5,2024,5,14.01
30.5,-2.5,2024,5,14.13
30.5,-1.5,2024,5,14.62
31.5,-9.5,2024,5,11.79
31.5,-8.5,2024,5,8.89
31.5,-7.5,2024,5,8.6
31.5,-6.5,2024,5,10.45
31.5,-5.5,2024,5,13.69
31.5,-4.5,2024,5,14.26
31.5,-3.5,2024,5,14.21
31.5,-2.5,2024,5,13.91
31.5,-1.5,2024,5,13.15
32.5,-9.5,2024,5,11.47
32.5,-8.5,2024,5,9.43
32.5,-7.5,2024,5,7.82
32.5,-6.5,2024,5,8.35
32.5,-5.5,2024,5,8.34
32.5,-4.5,2024,5,12.35
32.5,-3.5,2024,5,13.26
32.5,-2.5,2024,5,12.77
32.5,-1.5,2024,5,12.44
33.5,-9.5,2024,5,11.72
33.5,-8.5,2024,5,11.1
33.5,-7.5,2024,5,10.39
33.5,-6.5,2024,5,7.43
33.5,-5.5,2024,5,6.02
33.5,-4.5,2024,5,6.47
33.5,-3.5,2024,5,9.12
33.5,-2.5,2024,5,10.6
33.5,-1.5,2024,5,10.91
34.5,-9.5,2024,5,11.14
34.5,-8.5,2024,5,10.68
34.5,-7.5,2024,5,10.66
34.5,-6.5,2024,5,10.21
34.5,-5.5,2024,5,9.19
34.5,-4.5,2024,5,7.85
34.5,-3.5,2024,5,8.09
34.5,-2.5,2024,5,6.18
34.5,-1.5,2024,5,5.69
35.5,-9.5,2024,5,10.21
35.5,-8.5,2024,5,9.99
35.5,-7.5,2024,5,10.39
35.5,-6.5,2024,5,10.77
35.5,-5.5,2024,5,9.81
35.5,-4.5,2024,5,10.3
35.5,-3.5,2024,5,9.76
35.5,-2.5,2024,5,8.7
35.5,-1.5,2024,5,5.46
27.5,-9.5,2024,6,15.34
27.5,-8.5,2024,6,15.58
27.5,-7.5,2024,6,15.29
27.5,-6.5,2024,6,14.88
27.5,-5.5,2024,6,14.96
