-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
27.5,-9.5,2021,1,16.01
27.5,-8.5,2021,1,15.79
27.5,-7.5,2021,1,15.54
27.5,-6.5,2021,1,15.33
27.5,-5.5,2021,1,15.4
27.5,-4.5,2021,1,15.49
27.5,-3.5,2021,1,15.51
27.5,-2.5,2021,1,15.42
27.5,-1.5,2021,1,15.41
28.5,-9.5,2021,1,15.38
28.5,-8.5,2021,1,15.16
28.5,-7.5,2021,1,15.12
28.5,-6.5,2021,1,14.87
28.5,-5.5,2021,1,14.8
28.5,-4.5,2021,1,14.99
28.5,-3.5,2021,1,15.1
28.5,-2.5,2021,1,14.94
28.5,-1.5,2021,1,15.0
29.5,-9.5,2021,1,15.29
29.5,-8.5,2021,1,15.5
29.5,-7.5,2021,1,15.21
29.5,-6.5,2021,1,14.87
29.5,-5.5,2021,1,14.92
29.5,-4.5,2021,1,14.93
29.5,-3.5,2021,1,14.98
29.5,-2.5,2021,1,14.68
29.5,-1.5,2021,1,15.13
30.5,-9.5,2021,1,14.49
30.5,-8.5,2021,1,14.41
30.5,-7.5,2021,1,15.6
30.5,-6.5,2021,1,15.31
30.5,-5.5,2021,1,15.05
30.5,-4.5,2021,1,14.81
30.5,-3.5,2021,1,14.73
30.5,-2.5,2021,1,14.8
30.5,-1.5,2021,1,14.92
31.5,-9.5,2021,1,13.61
31.5,-8.5,2021,1,14.27
31.5,-7.5,2021,1,14.52
31.5,-6.5,2021,1,14.81
31.5,-5.5,2021,1,14.88
31.5,-4.5,2021,1,14.55
31.5,-3.5,2021,1,14.44
31.5,-2.5,2021,1,14.49
31.5,-1.5,2021,1,14.33
32.5,-9.5,2021,1,10.62
32.5,-8.5,2021,1,11.16
32.5,-7.5,2021,1,11.15
32.5,-6.5,2021,1,12.46
32.5,-5.5,2021,1,12.59
32.5,-4.5,2021,1,13.52
32.5,-3.5,2021,1,13.59
32.5,-2.5,2021,1,13.92
32.5,-1.5,2021,1,13.98
33.5,-9.5,2021,1,7.75
33.5,-8.5,2021,1,6.65
33.5,-7.5,2021,1,5.79
33.5,-6.5,2021,1,6.15
33.5,-5.5,2021,1,6.94
33.5,-4.5,2021,1,7.85
33.5,-3.5,2021,1,10.88
33.5,-2.5,2021,1,10.97
33.5,-1.5,2021,1,11.44
34.5,-9.5,2021,1,7.23
34.5,-8.5,2021,1,8.82
34.5,-7.5,2021,1,7.74
34.5,-6.5,2021,1,6.75
34.5,-5.5,2021,1,5.64
34.5,-4.5,2021,1,5.29
34.5,-3.5,2021,1,7.12
34.5,-2.5,2021,1,5.59
34.5,-1.5,2021,1,5.84
35.5,-9.5,2021,1,9.03
35.5,-8.5,2021,1,8.7
35.5,-7.5,2021,1,9.48
35.5,-6.5,2021,1,9.53
35.5,-5.5,2021,1,9.53
35.5,-4.5,2021,1,10.51
35.5,-3.5,2021,1,10.29
35.5,-2.5,2021,1,9.62
35.5,-1.5,2021,1,8.05
27.5,-9.5,2021,2,16.32
27.5,-8.5,2021,2,16.36
27.5,-7.5,2021,2,16.56
27.5,-6.5,2021,2,16.03
27.5,-5.5,2021,2,15.99
27.5,-4.5,2021,2,15.79
27.5,-3.5,2021,2,15.71
27.5,-2.5,2021,2,15.81
27.5,-1.5,2021,2,15.89
28.5,-9.5,2021,2,15.8
28.5,-8.5,2021,2,16.0
28.5,-7.5,2021,2,15.99
28.5,-6.5,2021,2,15.53
28.5,-5.5,2021,2,15.46
28.5,-4.5,2021,2,15.28
28.5,-3.5,2021,2,15.25
28.5,-2.5,2021,2,15.3
28.5,-1.5,2021,2,15.3
29.5,-9.5,2021,2,15.13
29.5,-8.5,2021,2,15.13
29.5,-7.5,2021,2,15.13
29.5,-6.5,2021,2,15.25
29.5,-5.5,2021,2,15.3
29.5,-4.5,2021,2,15.19
29.5,-3.5,2021,2,15.04
29.5,-2.5,2021,2,14.78
29.5,-1.5,2021,2,15.02
30.5,-9.5,2021,2,14.36
30.5,-8.5,2021,2,14.25
30.5,-7.5,2021,2,14.92
30.5,-6.5,2021,2,14.92
30.5,-5.5,2021,2,14.99
30.5,-4.5,2021,2,14.89
30.5,-3.5,2021,2,14.98
30.5,-2.5,2021,2,14.72
30.5,-1.5,2021,2,14.89
31.5,-9.5,2021,2,12.96
31.5,-8.5,2021,2,13.37
31.5,-7.5,2021,2,14.0
31.5,-6.5,2021,2,14.66
31.5,-5.5,2021,2,14.81
31.5,-4.5,2021,2,14.52
31.5,-3.5,2021,2,14.43
31.5,-2.5,2021,2,14.23
31.5,-1.5,2021,2,13.92
32.5,-9.5,2021,2,10.79
32.5,-8.5,2021,2,10.7
32.5,-7.5,2021,2,9.62
32.5,-6.5,2021,2,9.71
32.5,-5.5,2021,2,9.55
32.5,-4.5,2021,2,12.31
32.5,-3.5,2021,2,11.63
32.5,-2.5,2021,2,11.5
32.5,-1.5,2021,2,11.25
33.5,-9.5,2021,2,11.1
33.5,-8.5,2021,2,11.1
33.5,-7.5,2021,2,10.73
33.5,-6.5,2021,2,7.68
33.5,-5.5,2021,2,7.77
33.5,-4.5,2021,2,7.73
